Bin	Average_expression	Median_expression	Rel_cov	Sponge	Phylum	Class	Order	Family	Genus	Species
FL2014_9_8	0.000100859	3.24E-05	0.430163618	H. lachne	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2014_9_9	9.41E-05	2.68E-05	0.160115221	H. lachne	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2015_34_0001	1.80E-05	6.96E-06	0.159403517	I. felix	Bacteroidota	Rhodothermia	Rhodothermales	0	0	0
FL2015_34_0002	2.38E-05	4.60E-06	0.170326693	I. felix	Proteobacteria	Alphaproteobacteria	Rhodospirillales	UBA2165	0	0
FL2015_34_0003	6.80E-05	2.60E-05	0.519215996	I. felix	Desulfobacterota_B	Binatia	Bin18	Bin18	Bin18	0
FL2015_34_0004	4.20E-05	1.63E-05	0.15585278	I. felix	Bacteroidota	Rhodothermia	Rhodothermales	Bin80	Bin80	0
FL2015_34_0005	8.66E-05	3.80E-05	0.074119262	I. felix	Latescibacterota	UBA2968	UBA2968	0	0	0
FL2015_34_0006	2.69E-05	7.24E-06	0.148052205	I. felix	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	0
FL2015_34_0007	1.89E-05	5.18E-06	0.076135451	I. felix	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Bin134	Bin134	0
FL2015_34_0008	3.29E-05	1.27E-05	0.074056499	I. felix	Actinobacteriota	Acidimicrobiia	UBA5794	SZUA-232	0	0
FL2015_34_0009	3.42E-05	1.34E-05	0.063948207	I. felix	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	0	0
FL2015_34_0010	3.09E-05	1.17E-05	0.065232074	I. felix	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	Bin94	0
FL2015_34_0011	1.11E-05	3.04E-06	0.066488514	I. felix	Gemmatimonadota	Gemmatimonadetes	0	0	0	0
FL2015_34_0012	2.06E-05	4.00E-06	0.082663198	I. felix	Proteobacteria	Alphaproteobacteria	Bin95	Bin95	Bin95	0
FL2015_34_0013	1.14E-05	1.23E-06	0.053726464	I. felix	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	0	0
FL2015_34_0014	5.92E-05	2.17E-05	0.071580182	I. felix	Actinobacteriota	Acidimicrobiia	UBA5794	Bin76	Bin76	0
FL2015_34_0015	0.000149019	7.60E-05	0.100947054	I. felix	Chloroflexota	Dehalococcoidia	UBA3495	GCA-2712585	0	0
FL2015_34_0016	4.21E-05	1.90E-05	0.059576158	I. felix	Chloroflexota	UBA11872	UBA11872	0	0	0
FL2015_34_0017	3.10E-05	9.50E-06	0.090289872	I. felix	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	0	0
FL2015_34_0018	5.74E-05	2.37E-05	0.105269121	I. felix	Proteobacteria	Gammaproteobacteria	UBA10353	UBA5680	0	0
FL2015_34_0019	3.99E-05	1.76E-05	0.061074889	I. felix	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Bin36	0
FL2015_34_0020	1.16E-05	2.11E-06	0.060285642	I. felix	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Bin134	0	0
FL2015_34_0021	1.91E-05	3.80E-06	0.048939189	I. felix	Latescibacterota	UBA2968	UBA8231	0	0	0
FL2015_34_0022	3.48E-05	1.27E-05	0.067259782	I. felix	Proteobacteria	Alphaproteobacteria	UBA2966	UBA2966	UBA2966	0
FL2015_34_0023	1.50E-05	4.22E-06	0.054145956	I. felix	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	0	0
FL2015_34_0024	5.09E-05	1.52E-05	0.087159592	I. felix	Chloroflexota	Dehalococcoidia	UBA2963	UBA2963	Bin16	0
FL2015_34_0025	5.95E-05	1.69E-05	0.108364803	I. felix	Proteobacteria	Alphaproteobacteria	SP197	SP197	SP197	0
FL2015_34_0026	7.72E-06	0	0.077060159	I. felix	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	TK06	0	0
FL2015_34_0027	0.000120114	5.70E-05	0.073117085	I. felix	Chloroflexota	UBA2235	UBA12225	0	0	0
FL2015_34_0028	2.36E-05	1.06E-05	0.210165657	I. felix	Acidobacteriota	Acidobacteriae	Bryobacterales	UBA6623	0	0
FL2015_34_0029	7.51E-05	1.83E-05	0.216965038	I. felix	Chloroflexota	Anaerolineae	SBR1031	A4b	UBA6055	0
FL2015_34_0030	1.87E-05	5.32E-06	0.361336641	I. felix	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Bin134	Bin134	0
FL2015_34_0031	6.75E-05	2.64E-05	0.167593629	I. felix	Chloroflexota	Anaerolineae	Caldilineales	Bin34	Bin34	0
FL2015_34_0032	2.68E-05	8.44E-06	0.120456097	I. felix	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	0	0
FL2015_34_0033	5.07E-05	1.90E-05	0.212853029	I. felix	Chloroflexota	Anaerolineae	SBR1031	A4b	UBA6055	0
FL2015_34_0034	0.005563299	5.16E-05	7.141494397	I. felix	Poribacteria	WGA-4E	WGA-4E	WGA-3G	WGA-3G	0
FL2015_34_0035	2.94E-05	7.45E-06	0.104540068	I. felix	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	0	0
FL2015_34_0036	1.13E-05	2.37E-06	0.1124624	I. felix	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	UBA11606	0	0
FL2015_34_0037	0.000359106	0.000151956	0.774391718	I. felix	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	Bin87	0
FL2015_34_0038	2.76E-05	1.03E-05	0.483135407	I. felix	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	UBA2168	0
FL2015_34_0039	6.35E-05	2.92E-05	0.123899775	I. felix	Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae	Bin5	0
FL2015_34_0040	7.69E-05	3.04E-05	0.129654072	I. felix	Acidobacteriota	Acidobacteriae	Bryobacterales	UBA6623	0	0
FL2015_34_0041	1.51E-05	6.70E-06	0.255163396	I. felix	Desulfobacterota_D	UBA1144	0	0	0	0
FL2015_34_0042	3.71E-05	1.59E-05	0.770747605	I. felix	Bacteroidota	Rhodothermia	Rhodothermales	Bin80	Bin80	0
FL2015_34_0043	3.80E-05	1.76E-05	0.342996756	I. felix	Desulfobacterota_D	UBA1144	0	0	0	0
FL2015_34_0044	0.000129357	5.07E-05	0.149441703	I. felix	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Bin36	0
FL2015_34_0045	9.50E-05	5.07E-05	0.15248733	I. felix	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	0	0
FL2015_34_0047	4.18E-05	1.90E-05	0.055482477	I. felix	Deinococcota	Deinococci	Deinococcales	Trueperaceae	MPNL01	0
FL2015_34_0048	1.69E-05	3.17E-06	0.204553907	I. felix	Proteobacteria	Alphaproteobacteria	Bin95	Bin95	Bin95	0
FL2015_34_0050	3.90E-05	1.90E-05	0.14763376	I. felix	Verrucomicrobiota	Verrucomicrobiae	Opitutales	UBA2995	UBA2995	0
FL2015_34_0051	3.43E-05	1.10E-05	0.09844897	I. felix	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	UBA8438	0
FL2015_34_0052	4.13E-05	1.69E-05	0.165892056	I. felix	Proteobacteria	Gammaproteobacteria	UBA6522	UBA6522	0	0
FL2015_34_0053	6.67E-05	2.96E-05	0.323754984	I. felix	Latescibacterota	UBA2968	UBA2968	0	0	0
FL2015_34_0054	0.00035343	0.000160772	0.351322254	I. felix	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	0	0
FL2015_34_0055	0.000136382	7.77E-05	0.063264551	I. felix	Acidobacteriota	UBA6911	UBA6911	RPQK01	0	0
FL2015_34_0057	1.83E-05	4.75E-06	0.090045447	I. felix	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Boseongicola	0
FL2015_34_0058	7.78E-05	4.20E-05	0.061666601	I. felix	Chloroflexota	Dehalococcoidia	UBA6952	QGNO01	0	0
FL2015_34_0059	2.74E-05	9.70E-06	0.815890173	I. felix	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	UBA9145	0
FL2015_34_0060	2.57E-05	8.94E-06	0.262898465	I. felix	Nitrospinota_A	UBA8248	UBA8248	UBA8248	Bin107	0
FL2015_34_0061	8.98E-06	2.64E-06	0.635994838	I. felix	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	TK06	0	0
FL2015_34_0062	5.31E-05	2.10E-05	0.913102906	I. felix	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	Bin55	0
FL2015_34_0064	6.92E-05	1.80E-05	0.541922214	I. felix	Desulfobacterota_D	UBA1144	UBA2774	0	0	0
FL2015_34_0067	0.000144142	4.18E-05	0.98060862	I. felix	Chloroflexota	Dehalococcoidia	UBA1151	Bin127	Bin127	0
FL2015_34_0069	0.000291815	0.00013575	0.859219721	I. felix	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	0	0
FL2015_34_0070	3.23E-05	1.15E-05	0.14392843	I. felix	Proteobacteria	Gammaproteobacteria	UBA4575	UBA4575	0	0
FL2015_34_0071	2.97E-05	6.78E-06	0.171786804	I. felix	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA2999	0	0
FL2015_34_0074	0.000118914	3.30E-05	0.418432156	I. felix	Latescibacterota	UBA2968	UBA8231	GCA-002724215	GCA-2724215	0
FL2015_34_0075	0.000317306	0.000149722	0.32419826	I. felix	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	Bin22	0
FL2015_34_0076	5.05E-05	1.40E-05	0.141833127	I. felix	Chloroflexota	Dehalococcoidia	UBA1127	UBA1127	UBA1127	0
FL2015_34_0079	2.32E-05	7.69E-06	0.247973849	I. felix	Proteobacteria	Gammaproteobacteria	GCA-2729495	GCA-2729495	0	0
FL2015_34_0080	3.79E-05	1.06E-05	0.17177183	I. felix	Proteobacteria	Gammaproteobacteria	GCA-2729495	GCA-2729495	0	0
FL2015_34_0081	4.58E-05	1.47E-05	0.082582885	I. felix	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2015_34_0082	3.93E-05	1.46E-05	0.081702882	I. felix	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Bin36	0
FL2015_34_0083	6.71E-05	3.80E-05	0.071017083	I. felix	Chloroflexota	Dehalococcoidia	UBA6926	0	0	0
FL2015_34_0084	1.56E-05	3.93E-06	0.054790579	I. felix	Gemmatimonadota	Gemmatimonadetes	SG8-23	0	0	0
FL2015_34_0085	4.64E-05	1.33E-05	0.80687042	I. felix	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Bin36	0
FL2015_34_0086	2.08E-05	4.07E-06	0.159880202	I. felix	Chloroflexota	Dehalococcoidia	UBA2991	UBA2991	UBA2991	0
FL2015_34_0088	0.000639409	0.000192885	1.337223554	I. felix	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	0	0
FL2015_34_0091	0.000288207	0.000167785	0.176261964	I. felix	Chloroflexota	Dehalococcoidia	UBA6926	0	0	0
FL2015_34_0092	0.00373368	0.002488282	0.706583489	I. felix	Poribacteria	WGA-4E	WGA-4E	WGA-3G	0	0
FL2015_34_0093	1.78E-05	3.76E-06	0.31538751	I. felix	Acidobacteriota	Bin61	Bin61	Bin61	Bin61	0
FL2015_34_0094	0.001222955	6.01E-05	9.240506329	I. felix	Poribacteria	WGA-4E	WGA-4E	WGA-3G	WGA-3G	0
FL2015_34_0095	0.00298975	7.19E-05	11.45654753	I. felix	Poribacteria	WGA-4E	WGA-4E	WGA-3G	WGA-3G	0
FL2015_34_0096	4.56E-05	2.52E-05	0.84603586	I. felix	Latescibacterota	UBA2968	UBA2968	0	0	0
FL2015_34_0097	0.000216314	5.70E-05	0.22768219	I. felix	Proteobacteria	Gammaproteobacteria	UBA10353	UBA5680	0	0
FL2015_34_0099	6.72E-05	2.37E-05	0.303409795	I. felix	Chloroflexota	Dehalococcoidia	Bin125	Bin125	Bin125	0
FL2015_34_0100	8.62E-05	2.53E-05	0.176960853	I. felix	Chloroflexota	Dehalococcoidia	UBA6926	UBA6926	0	0
FL2015_34_0102	0.000270271	3.64E-05	2.353179312	I. felix	Latescibacterota	UBA2968	UBA8231	GCA-002724215	GCA-2724215	0
FL2015_34_0103	6.93E-05	8.55E-06	0.463469461	I. felix	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Silicimonas	0
FL2015_34_0104	0.000290731	7.94E-05	1.675642499	I. felix	Latescibacterota	UBA2968	UBA8231	GCA-002724215	GCA-2724215	0
FL2015_34_0105	6.20E-05	1.68E-05	0.279132255	I. felix	Proteobacteria	Gammaproteobacteria	GCA-2729495	GCA-2729495	0	0
FL2015_34_0106	9.38E-05	3.56E-05	1.085821092	I. felix	Latescibacterota	UBA2968	UBA2968	0	0	0
FL2015_34_0107	0.000485125	0.000176226	2.187819883	I. felix	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	Bin87	0
FL2015_34_0108	0.000344607	0.000128891	1.767975374	I. felix	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	Bin87	0
FL2015_34_0109	3.89E-05	1.24E-05	0.384056871	I. felix	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	BD2-11	0
FL2015_34_0112	0.000454097	0.000145158	2.793911065	I. felix	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	Bin87	0
FL2015_34_0114	5.50E-05	2.77E-05	0.401919072	I. felix	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	Bin55	0
FL2015_34_0115	6.61E-05	2.54E-05	0.338357652	I. felix	Latescibacterota	0	0	0	0	0
FL2015_34_0120	0.0001138	8.09E-05	0.17706115	I. felix	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	0	0
FL2015_34_0121	6.78E-05	2.59E-05	0.658692513	I. felix	Proteobacteria	Alphaproteobacteria	Bin95	Bin95	Bin95	0
FL2015_34_0122	5.47E-06	0	0.081394554	I. felix	Chloroflexota	Dehalococcoidia	UBA2979	UBA2979	0	0
FL2015_34_0123	0.000219755	0.000109754	1.477339587	I. felix	Latescibacterota	UBA2968	UBA2968	0	0	0
FL2015_34_0124	0.000539088	0.000322907	1.171257997	I. felix	Latescibacterota	UBA2968	UBA2968	0	0	0
FL2015_34_0125	0.00013803	6.50E-05	0.224870844	I. felix	Verrucomicrobiota	Verrucomicrobiae	Opitutales	UBA2995	UBA2995	0
FL2015_34_0127	0.000322636	0.000108634	0.60359447	I. felix	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	Bin90	0
FL2015_34_0128	6.19E-05	1.72E-05	0.49026906	I. felix	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	BD2-11	0
FL2015_34_0129	2.46E-05	8.88E-06	0.672005334	I. felix	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	Bin94	0
FL2015_34_0132	0.000738012	0.000225344	1.106683014	I. felix	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	Bin22	0
FL2015_34_0133	0.001552607	0.000988619	0.972204645	I. felix	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	Bin22	0
FL2015_34_0135	0.000198563	9.61E-05	1.163426212	I. felix	Poribacteria	WGA-4E	WGA-4E	WGA-3G	WGA-3G	0
FL2015_34_0136	4.90E-05	1.61E-05	0.268360999	I. felix	Proteobacteria	Gammaproteobacteria	UBA6522	UBA6522	0	0
FL2015_34_0139	3.48E-05	3.62E-06	0.288433232	I. felix	Proteobacteria	Alphaproteobacteria	Bin95	Bin95	Bin95	0
FL2015_34_0140	0.000174981	4.08E-05	0.478229378	I. felix	Desulfobacterota_B	Binatia	UBA9968	0	0	0
FL2015_34_0143	2.20E-05	6.51E-06	0.227110424	I. felix	Proteobacteria	Gammaproteobacteria	UBA6522	UBA6522	0	0
FL2015_34_0145	0.014363217	0.008894184	2.711180852	I. felix	Poribacteria	WGA-4E	WGA-4E	WGA-3G	WGA-3G	0
FL2015_34_0147	9.60E-05	1.90E-05	0.137614345	I. felix	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Bin36	0
FL2015_34_0148	2.55E-05	4.33E-06	0.161041965	I. felix	Proteobacteria	Alphaproteobacteria	Bin95	Bin95	Bin95	0
FL2015_34_0150	0.004551982	0.000172149	4.188793955	I. felix	Poribacteria	WGA-4E	WGA-4E	WGA-3G	0	0
FL2015_34_0151	0.000224463	0.000101713	0.529871532	I. felix	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	Bin90	0
FL2015_34_0154	0.000379493	0.000215271	0.123119831	I. felix	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	Bin90	0
FL2015_34_0155	3.19E-05	7.60E-06	0.063805624	I. felix	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	0	0
FL2015_34_0156	4.96E-05	1.01E-05	0.095854654	I. felix	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	0	0
FL2015_34_0157	0.000132302	8.55E-06	0.768119904	I. felix	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Bin134	0	0
FL2015_34_0158	9.35E-06	0	0.060333565	I. felix	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	UBA11606	0	0
FL2015_34_0160	2.18E-05	0	0.061762996	I. felix	Chloroflexota	Dehalococcoidia	UBA2979	UBA2979	0	0
FL2015_34_0161	9.54E-05	2.81E-05	0.659683598	I. felix	Nitrospirota	Nitrospiria	Nitrospirales	UBA8639	Bin75	0
FL2015_34_0163	4.25E-05	1.42E-05	0.101958821	I. felix	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2015_34_0165	2.08E-05	4.75E-06	0.062627472	I. felix	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	0	0
FL2015_34_0166	7.73E-05	9.50E-06	0.381508237	I. felix	Bacteroidota	Rhodothermia	Rhodothermales	Bin80	Bin80	0
FL2015_34_0167	2.03E-05	4.22E-06	0.096480713	I. felix	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	0	0
FL2015_34_0168	6.60E-05	9.50E-06	0.201976474	I. felix	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	0	0
FL2015_34_0171	7.37E-05	1.42E-05	0.438951426	I. felix	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2015_34_0172	4.90E-05	9.50E-06	0.179548021	I. felix	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2015_34_0173	3.85E-05	7.45E-06	0.628041734	I. felix	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	Bin94	0
FL2015_34_0174	0.000245025	8.07E-05	0.550424076	I. felix	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	Bin90	0
FL2015_34_1	2.01E-05	3.42E-06	0.239577447	I. felix	Proteobacteria	Alphaproteobacteria	Bin65	Bin65	Bin65	0
FL2015_34_10	1.37E-05	0	0.088353502	I. felix	Chloroflexota	Dehalococcoidia	UBA2979	UBA2979	0	0
FL2015_34_11	1.02E-05	0	0.082797136	I. felix	Chloroflexota	Dehalococcoidia	UBA2979	UBA2979	0	0
FL2015_34_12	0.000530774	0.000176886	0.87791971	I. felix	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	0	0
FL2015_34_13	0.000421151	0.00012467	0.57845704	I. felix	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	0	0
FL2015_34_14	2.15E-05	6.63E-06	0.765363846	I. felix	Acidobacteriota	Thermoanaerobaculia	UBA5704	QQVD01	0	0
FL2015_34_15	3.37E-05	8.10E-06	0.675702556	I. felix	Proteobacteria	Alphaproteobacteria	UBA7887	0	0	0
FL2015_34_16	2.51E-05	5.43E-06	0.112656141	I. felix	Proteobacteria	Alphaproteobacteria	UBA828	UBA828	0	0
FL2015_34_17	0.000307374	9.65E-05	1.322554973	I. felix	Poribacteria	WGA-4E	WGA-4E	WGA-3G	0	0
FL2015_34_18	0.000192399	9.09E-05	3.159988105	I. felix	Poribacteria	WGA-4E	WGA-4E	WGA-3G	MSPOR6	0
FL2015_34_19	0.000376261	0.000137597	0.336271299	I. felix	Poribacteria	WGA-4E	WGA-4E	PCPOR2b	PCPOR2b	0
FL2015_34_2	2.08E-05	4.32E-06	0.375434718	I. felix	Proteobacteria	Alphaproteobacteria	Bin95	Bin95	Bin95	0
FL2015_34_3	4.06E-05	1.02E-05	0.346047842	I. felix	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2015_34_4	0.000255594	7.04E-05	4.628050747	I. felix	Cyanobacteria	Cyanobacteriia	PCC-6307	Cyanobiaceae	Synechococcus_B	0
FL2015_34_5	2.57E-05	4.75E-06	0.310843905	I. felix	Proteobacteria	Gammaproteobacteria	Porisulfidales	Porisulfidaceae	Porisulfidus	0
FL2015_34_6	1.97E-05	4.75E-06	0.327312332	I. felix	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Silicimonas	0
FL2015_34_7	2.74E-05	7.47E-06	0.594892914	I. felix	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	Bin94	0
FL2015_34_8	3.10E-05	7.12E-06	0.150207335	I. felix	Proteobacteria	Gammaproteobacteria	UBA10353	LS-SOB	0	0
FL2015_34_9	4.88E-05	1.69E-05	0.140006011	I. felix	Chloroflexota	Dehalococcoidia	UBA2963	UBA2963	Bin16	0
